Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss),Correct,Wrong
section1_accomodation_Q1,What is your age?,Text,21,,,0:06,2026-01-04T14:54:40.693Z,2026-01-04T14:54:34.176Z,,,
section1_accomodation_Q2,Choose what best describes you:,Text,student,,,0:07,2026-01-04T14:54:48.356Z,2026-01-04T14:54:40.756Z,,,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection1_accomodation_Q3%2F1767538524039.webm?alt=media&token=dc9f02b3-0cda-419a-b0a3-ceaad63285d5,Sunday.,0:38,2026-01-04T14:55:27.077Z,2026-01-04T14:54:48.431Z,,,
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I hear.,,,0:11,2026-01-04T14:55:38.556Z,2026-01-04T14:55:27.162Z,,,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,How old are you?,,,0:20,2026-01-04T14:55:59.438Z,2026-01-04T14:55:38.637Z,,,
section2_control_Q12,What is the Big O time complexity of binary search?,Text,Log N,,,0:08,2026-01-04T14:58:25.258Z,2026-01-04T14:58:16.804Z,,✓,
section2_control_Q4,Which device connects computers within the same network using MAC addresses?,Text,Switch,,,0:22,2026-01-04T14:57:45.154Z,2026-01-04T14:57:22.986Z,,✓,
section2_control_Q6,Which OSI layer ensures reliable data delivery?,Text,Transport layer,,,0:22,2026-01-04T14:58:07.583Z,2026-01-04T14:57:45.221Z,,✓,
section2_control_Q9,Which data structure uses nodes connected by edges?,Text,Graphs,,,0:06,2026-01-04T14:58:14.377Z,2026-01-04T14:58:07.648Z,,✓,
section2_standard_Q4,Which device forwards packets based on IP addresses?,Text,Router,,,0:14,2026-01-04T14:56:13.625Z,2026-01-04T14:55:59.505Z,,✓,
section2_standard_Q6,Which layer of the OSI model handles routing and IP addressing?,Text,Network layer,,,0:49,2026-01-04T14:57:03.528Z,2026-01-04T14:56:13.701Z,,✓,
section2_standard_Q9,Which data structure uses hierarchical parent-child relationships?,Text,Tree,,,0:09,2026-01-04T14:57:13.384Z,2026-01-04T14:57:03.592Z,,✓,
section3_control_Q11,Which algorithm uses divide and conquer for sorting?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_control_Q11%2F1767538991464.webm?alt=media&token=bb02b982-8e97-4bf1-b56c-bf72df0c68f3,Merge sort,0:37,2026-01-04T15:03:12.921Z,2026-01-04T15:02:35.360Z,0:03,✓,
section3_control_Q5,Which keyword is used to destroy an object in C++?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_control_Q5%2F1767538897454.webm?alt=media&token=71a9be3a-3ce3-4d77-a2bd-93a48d5aab85,Delete.,0:19,2026-01-04T15:01:38.206Z,2026-01-04T15:01:19.096Z,0:03,✓,
section3_control_Q7,Which OOP concept allows one interface to be used for different data types?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_control_Q7%2F1767538942687.webm?alt=media&token=dc476c6c-0c1e-467f-8f36-1a6defa0e36a,Polymorphism.,0:46,2026-01-04T15:02:24.985Z,2026-01-04T15:01:38.291Z,0:04,✓,
section3_standard_Q11,Which sorting algorithm builds the final sorted array one item at a time?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_standard_Q11%2F1767538866358.webm?alt=media&token=5cb8e1dd-0da9-4179-bf8a-ca231131521f,Insertion sort.,0:54,2026-01-04T15:01:08.362Z,2026-01-04T15:00:13.472Z,0:04,✓,
section3_standard_Q4,What does the acronym W A N stand for?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_standard_Q4%2F1767538754332.webm?alt=media&token=a5992b73-ebd1-4b6a-9363-9a0d2b221d54,Wide area network.,0:51,2026-01-04T14:59:16.799Z,2026-01-04T14:58:25.341Z,0:02,✓,
section3_standard_Q5,Which programming language keyword is used to create an object in C++?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_standard_Q5%2F1767538773335.webm?alt=media&token=73123a90-0835-4d43-b56e-25ffcc0478a2,New.,0:17,2026-01-04T14:59:34.147Z,2026-01-04T14:59:16.885Z,0:04,✓,
