Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription (Audio Answers),Time to Answer (mm:ss),Answered At (Timestamp),Question Displayed At (Timestamp),Audio Question Duration (mm:ss),Correct,Wrong
section1_accomodation_Q1,What is your age?,Text,22,,,0:03,2025-12-23T11:33:06.028Z,2025-12-23T11:33:02.708Z,,,
section1_accomodation_Q2,Choose what best describes you:,Text,student,,,0:03,2025-12-23T11:33:09.112Z,2025-12-23T11:33:06.076Z,,,
section1_accomodation_Q3,What day is it today?,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F2et8mPBfSobMEflsrjHPlpbBRVl1%2Fsection1_accomodation_Q3%2F1766489626945.webm?alt=media&token=f5b60183-9c73-4344-b64a-b3e522c029e9,Today is Tuesday.,0:39,2025-12-23T11:33:48.194Z,2025-12-23T11:33:09.155Z,0:01,,
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I read.,,,0:04,2025-12-23T11:33:52.482Z,2025-12-23T11:33:48.247Z,,,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,What day is today?,,,0:10,2025-12-23T11:34:02.685Z,2025-12-23T11:33:52.526Z,,,
section2_control_Q2,Which type of memory retains data even when power is off?,Text,NVM,,,0:17,2025-12-23T11:35:52.806Z,2025-12-23T11:35:35.522Z,,✓,
section2_standard_Q12,What is the Big O time complexity of linear search?,Text,O(N),,,0:11,2025-12-23T11:35:35.477Z,2025-12-23T11:35:23.872Z,,✓,
section2_standard_Q2,Which type of memory is volatile and temporarily stores data during execution?,Text,RAM,,,0:50,2025-12-23T11:34:53.062Z,2025-12-23T11:34:02.733Z,,✓,
section2_standard_Q6,Which layer of the OSI model handles routing and IP addressing?,Text,"Network Layer
",,,0:14,2025-12-23T11:35:07.532Z,2025-12-23T11:34:53.110Z,,✓,
section2_standard_Q8,Which port number is used by HTTP?,Text,"80
",,,0:06,2025-12-23T11:35:13.652Z,2025-12-23T11:35:07.579Z,,✓,
section2_standard_Q9,Which data structure uses hierarchical parent-child relationships?,Text,Tree,,,0:10,2025-12-23T11:35:23.828Z,2025-12-23T11:35:13.696Z,,✓,
